rainTS,roofFlow,inflow,tankInflow,tankSpill,tankVolSim,demand,supply
0,0,0,0,0,1320.769,179.231,179.231
0,0,0,0,0,1141.538,179.231,179.231
0,0,0,0,0,919.99925,221.53875,221.53875
0,0,0,0,0,698.4605,221.53875,221.53875
0,0,0,0,0,476.92175,221.53875,221.53875
4.5,225,175,175,0,472.69075,179.231,179.231
2.6,130,130,130,0,423.45975,179.231,179.231
0,0,0,0,0,244.22875,179.231,179.231
0,0,0,0,0,64.9977500000002,179.231,179.231
0,0,0,0,0,0,221.53875,64.9977500000002
0,0,0,0,0,0,179.231,0
0,0,0,0,0,0,179.231,0
0,0,0,0,0,0,179.231,0
0,0,0,0,0,0,179.231,0
0,0,0,0,0,0,179.231,0
0,0,0,0,0,0,221.53875,0
0,0,0,0,0,0,179.231,0
0,0,0,0,0,0,179.231,0
3.5,175,125,125,0,0,179.231,125
14.5,725,725,725,0,545.769,179.231,179.231
9.8,490,490,490,0,856.538,179.231,179.231
0,0,0,0,0,677.307,179.231,179.231
0,0,0,0,0,498.076,179.231,179.231
0,0,0,0,0,318.845,179.231,179.231
0,0,0,0,0,139.614,179.231,179.231
0,0,0,0,0,0,179.231,139.614
0,0,0,0,0,0,179.231,0
0,0,0,0,0,0,179.231,0
0,0,0,0,0,0,179.231,0
0,0,0,0,0,0,179.231,0
0,0,0,0,0,0,179.231,0
0,0,0,0,0,0,148.932,0
0,0,0,0,0,0,148.932,0
0,0,0,0,0,0,183.665,0
0,0,0,0,0,0,183.665,0
0,0,0,0,0,0,183.665,0
0,0,0,0,0,0,148.932,0
0,0,0,0,0,0,148.932,0
0,0,0,0,0,0,148.932,0
0,0,0,0,0,0,148.932,0
0,0,0,0,0,0,148.932,0
0,0,0,0,0,0,148.932,0
0,0,0,0,0,0,148.932,0
0,0,0,0,0,0,148.932,0
0,0,0,0,0,0,148.932,0
0,0,0,0,0,0,148.932,0
0,0,0,0,0,0,183.665,0
0,0,0,0,0,0,183.665,0
0,0,0,0,0,0,183.665,0
0,0,0,0,0,0,148.932,0
0,0,0,0,0,0,183.665,0
0,0,0,0,0,0,148.932,0
0,0,0,0,0,0,148.932,0
0,0,0,0,0,0,183.665,0
0,0,0,0,0,0,148.932,0
0,0,0,0,0,0,148.932,0
0,0,0,0,0,0,148.932,0
0,0,0,0,0,0,148.932,0
0,0,0,0,0,0,148.932,0
0,0,0,0,0,0,114.938,0
0,0,0,0,0,0,141.1725,0
0.1,5,0,0,0,0,114.938,0
0.1,5,0,0,0,0,114.938,0
0,0,0,0,0,0,114.938,0
0,0,0,0,0,0,114.938,0
0,0,0,0,0,0,114.938,0
0,0,0,0,0,0,114.938,0
0,0,0,0,0,0,114.938,0
0,0,0,0,0,0,114.938,0
0,0,0,0,0,0,114.938,0
0,0,0,0,0,0,114.938,0
0,0,0,0,0,0,114.938,0
0,0,0,0,0,0,114.938,0
0,0,0,0,0,0,141.1725,0
